"1066024","built","1801","1900","century","","19th century","1801-01-01T00:00:00Z","7","inception (P571)","Q26319038","Wikidata inception (P571) ""1801-01-01T00:00:00Z"" at century precision; read as the 19th century (1801–1900), not as a year","1.0.0"
"1083103","built","801","900","century","","9th century","0801-01-01T00:00:00Z","7","inception (P571)","Q7595214","Wikidata inception (P571) ""0801-01-01T00:00:00Z"" at century precision; read as the 9th century (801–900), not as a year","1.0.0"
"1083103","built","901","1000","century","","10th century","0901-01-01T00:00:00Z","7","inception (P571)","Q7595214","Wikidata inception (P571) ""0901-01-01T00:00:00Z"" at century precision; read as the 10th century (901–1000), not as a year","1.0.0"
"1083144","built","1201","1300","century","","13th century","1250-01-01T00:00:00Z","7","inception (P571)","Q17533626","Wikidata inception (P571) ""1250-01-01T00:00:00Z"" at century precision; read as the 13th century (1201–1300), not as a year","1.0.0"
"1083151","built","1101","1200","century","","12th century","1150-01-01T00:00:00Z","7","inception (P571)","Q21436594","Wikidata inception (P571) ""1150-01-01T00:00:00Z"" at century precision; read as the 12th century (1101–1200), not as a year","1.0.0"
"1083170","built","1390","1399","decade","","1390s","1390-01-01T00:00:00Z","8","inception (P571)","Q8037764","Wikidata inception (P571) ""1390-01-01T00:00:00Z"" at decade precision; read as 1390–1399","1.0.0"
"1083170","event","1650","1650","exact_year","","1650","1650-01-01T00:00:00Z","9","significant event (P793) — slighting","Q8037764","Wikidata significant event (P793) — slighting ""1650-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1083170","event","1796","1796","exact_year","","1796","1796-02-19T00:00:00Z","11","significant event (P793) — conflagration","Q8037764","Wikidata significant event (P793) — conflagration ""1796-02-19T00:00:00Z"" at year precision or finer","1.0.0"
"1083209","built","1701","1800","century","","18th century","1701-01-01T00:00:00Z","7","inception (P571)","Q26364181","Wikidata inception (P571) ""1701-01-01T00:00:00Z"" at century precision; read as the 18th century (1701–1800), not as a year","1.0.0"
"1083326","built","1801","1900","century","","19th century","1801-01-01T00:00:00Z","7","inception (P571)","Q26364681","Wikidata inception (P571) ""1801-01-01T00:00:00Z"" at century precision; read as the 19th century (1801–1900), not as a year","1.0.0"
"1083345","built","1101","1200","century","","12th century","1150-01-01T00:00:00Z","7","inception (P571)","Q17533670","Wikidata inception (P571) ""1150-01-01T00:00:00Z"" at century precision; read as the 12th century (1101–1200), not as a year","1.0.0"
"1083356","built","1201","1300","century","","13th century","1250-01-01T00:00:00Z","7","inception (P571)","Q17533686","Wikidata inception (P571) ""1250-01-01T00:00:00Z"" at century precision; read as the 13th century (1201–1300), not as a year","1.0.0"
"1083378","built","1101","1200","century","","12th century","1150-01-01T00:00:00Z","7","inception (P571)","Q17533695","Wikidata inception (P571) ""1150-01-01T00:00:00Z"" at century precision; read as the 12th century (1101–1200), not as a year","1.0.0"
"1083392","built","1401","1500","century","","15th century","1450-01-01T00:00:00Z","7","inception (P571)","Q17533720","Wikidata inception (P571) ""1450-01-01T00:00:00Z"" at century precision; read as the 15th century (1401–1500), not as a year","1.0.0"
"1083399","built","1806","1806","exact_year","","1806","1806-01-01T00:00:00Z","9","inception (P571)","Q3739780","Wikidata inception (P571) ""1806-01-01T00:00:00Z"" at year precision or finer","1.0.0"
